user_id,post_content,created_at
16e974a6-d589-46a1-9729-8b015bb8d42c,"حد عنده ترشيح لفيلم يتشاف الليلة؟",2026-05-06T10:00:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"إيه أكتر أكلة ينفع تتاكل باردة وتفضل حلوة؟",2026-05-06T09:55:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"لو قدامك يوم بدون مواعيد، هتقضيه إزاي؟",2026-05-06T09:50:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"اقتراحات بودكاست عربي يستاهل السمع؟",2026-05-06T09:45:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"أنهي تطبيق على موبايلك بتفتحه أكتر حاجة؟",2026-05-06T09:40:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"إيه مكان هادي تنصحوا بيه لقعدة ساعة؟",2026-05-06T09:35:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"لو عندك وصفة سريعة بـ 3 مكونات، شاركها",2026-05-06T09:30:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"كتاب خفيف تقراه قبل النوم؟",2026-05-06T09:25:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"إيه أحسن عادة صغيرة فرقت في يومك؟",2026-05-06T09:20:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"لو هتسافر يومين جوه مصر، تختار فين؟",2026-05-06T09:15:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"أنهي أغنية بترجعك لمود معين فورًا؟",2026-05-06T09:10:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"إيه أكتر حاجة مفيدة اتعلمتها من الإنترنت؟",2026-05-06T09:05:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"ترشيح لمسلسل قصير بدون مط وتطويل؟",2026-05-06T09:00:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"لو هتعمل قائمة تشغيل للمشاوير، تبدأ بإيه؟",2026-05-06T08:55:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"أنهي عادة قديمة نفسك ترجع لها؟",2026-05-06T08:50:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"إيه أحسن مطعم جربته مؤخرًا؟",2026-05-06T08:45:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"لو هتختار مهارة جديدة تتعلمها، هتكون إيه؟",2026-05-06T08:40:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"رأيكم: المذاكرة بالورق ولا على التابلت؟",2026-05-06T08:35:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"إيه أكتر عادة بتوفر وقت فعلًا؟",2026-05-06T08:30:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"حد عنده لعبة موبايل بسيطة ومش بتسحب وقت؟",2026-05-06T08:25:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"لو هتعزم صحابك على أكلة واحدة، تختار إيه؟",2026-05-06T08:20:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"أنهي قناة يوتيوب عربية محتواها نظيف ومفيد؟",2026-05-06T08:15:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"إيه أحسن اختراع صغير بنستخدمه كل يوم؟",2026-05-06T08:10:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"لو هتبدأ يومك بمشروب واحد، تختار إيه؟",2026-05-06T08:05:00Z
16e974a6-d589-46a1-9729-8b015bb8d42c,"موضوع خفيف للنقاش الليلة: قهوة ولا شاي؟",2026-05-06T08:00:00Z
